"Id","IsDeleted","MasterRecordId","AccountId","Salutation","FirstName","LastName","OtherStreet","OtherCity","OtherState","OtherPostalCode","OtherCountry","OtherLatitude","OtherLongitude","OtherGeocodeAccuracy","MailingStreet","MailingCity","MailingState","MailingPostalCode","MailingCountry","MailingLatitude","MailingLongitude","MailingGeocodeAccuracy","Phone","Fax","MobilePhone","HomePhone","OtherPhone","AssistantPhone","ReportsToId","Email","Title","Department","AssistantName","LeadSource","Birthdate","Description","OwnerId","HasOptedOutOfEmail","HasOptedOutOfFax","DoNotCall","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastCURequestDate","LastCUUpdateDate","EmailBouncedReason","EmailBouncedDate","Jigsaw","JigsawContactId","CleanStatus","Level__c","Languages__c"
"0034600001Odz7hAAB","0","","0014600001TvgfWAAR","Ms.","Rose","Gonzalez","","","","","","","","","313 Constitution Place Austin, TX 78767 USA","","","","","","","","(512) 757-6000","(512) 757-9000","(512) 757-9340","","","","","rose@edge.com","SVP, Procurement","Procurement","","Trade Show","1966-09-25 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Primary","English"
"0034600001Odz7iAAB","0","","0014600001TvgfWAAR","Mr.","Sean","Forbes","","","","","","","","","312 Constitution Place Austin, TX 78767 USA","","","","","","","","(512) 757-6000","(512) 757-9000","(512) 757-4561","","","","","sean@edge.com","CFO","Finance","","Trade Show","1945-06-23 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Secondary","English"
"0034600001Odz7jAAB","0","","0014600001TvgfXAAR","Mr.","Jack","Rogers","","","","","","","","","525 S. Lexington Ave","Burlington","NC","27215","USA","","","","(336) 222-7000","(336) 222-8000","","","","","","jrogers@burlington.com","VP, Facilities","","","Web","","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","",""
"0034600001Odz7kAAB","0","","0014600001TvgfYAAR","Ms.","Pat","Stumuller","2 Place Jussieu","Paris","","75251","France","","","","2 Place Jussieu","Paris","","75251","France","","","","(014) 427-4427","(014) 427-4428","(014) 454-6364","","","(014) 427-4465","","pat@pyramid.net","SVP, Administration and Finance","Finance","Jean Marie","","","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Primary","French, English"
"0034600001Odz7lAAB","0","","0014600001TvgfZAAR","Mr","Andy","Young","1301 Hoch Drive","Lawrence","KS","66045","USA","","","","1301 Hoch Drive","Lawrence","KS","66045","USA","","","","(785) 241-6200","","(785) 265-5350","","","","","a_young@dickenson.com","SVP, Operations","Internal Operations","","Purchased List","","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Primary","English"
"0034600001Odz7mAAB","0","","0014600001TvgfaAAB","Mr.","Tim","Barr","","","","","","","","","2335 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA","","","","","","","","(312) 596-1000","(312) 596-1500","(312) 596-1230","","","","","barr_tim@grandhotels.com","SVP, Administration and Finance","Finance","","External Referral","1952-05-21 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Secondary","English"
"0034600001Odz7nAAB","0","","0014600001TvgfaAAB","Mr.","John","Bond","","","","","","","","","2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA","","","","","","","","(312) 596-1000","(312) 596-1500","(312) 596-1563","","","","","bond_john@grandhotels.com","VP, Facilities","Facilities","","External Referral","1954-08-02 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Primary","English"
"0034600001Odz7oAAB","0","","0014600001TvgfbAAB","Ms.","Stella","Pavlova","","","","","","","","","1303 Avenue of the Americas  New York, NY 10019 USA","","","","","","","","(212) 842-5500","(212) 842-5501","(212) 842-5501","","(212) 842-5543","(212) 842-5589","","spavlova@uog.com","SVP, Production","Production","Audrey Haynes","Public Relations","1942-01-16 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Tertiary","English"
"0034600001Odz7pAAB","0","","0014600001TvgfbAAB","Ms.","Lauren","Boyle","","","","","","","","","1304 Avenue of the Americas  New York, NY 10019 USA","","","","","","","","(212) 842-5500","(212) 842-5501","(212) 842-5611","","","","","lboyle@uog.com","SVP, Technology","Technology","","Public Relations","1959-03-01 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Secondary","English"
"0034600001Odz7qAAB","0","","0014600001TvgfcAAB","Ms.","Babara","Levy","","","","","","","","","620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States","","","","","","","","(503) 421-7800","(503) 421-7801","(503) 421-5451","","","(503) 421-6782","","b.levy@expressl&t.net","SVP, Operations","Operations","Ron Sage","Word of mouth","1935-09-02 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Primary","English"
"0034600001Odz7rAAB","0","","0014600001TvgfcAAB","Mr.","Josh","Davis","","","","","","","","","621 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States","","","","","","","","(503) 421-7800","(503) 421-7801","(503) 421-4387","","","","","j.davis@expressl&t.net","Director, Warehouse Mgmt","Warehouse Mgmt","","Word of mouth","1946-12-27 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Secondary","English"
"0034600001Odz7sAAB","0","","0014600001TvgfdAAB","Ms.","Jane","Grey","","","","","","","","","888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States","","","","","","","","(520) 773-9050","(520) 773-9060","(520) 773-4539","","","","","jane_gray@uoa.edu","Dean of Administration","Administration","","Word of mouth","1942-11-13 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Primary","English"
"0034600001Odz7tAAB","0","","0014600001TvgfbAAB","Mr.","Arthur","Song","","","","","","","","","1301 Avenue of the Americas  New York, NY 10019 USA","","","","","","","","(212) 842-5500","(212) 842-5501","(212) 842-4535","","","(212) 842-5464","","asong@uog.com","CEO","Executive Team","Pat Feinstein","Public Relations","1950-05-14 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Secondary","English"
"0034600001Odz7uAAB","0","","0014600001TvgfeAAB","Ms.","Ashley","James","","","","","","","","","Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom","","","","","","","","+44 191 4956203","+44 191 4956620","+44 191 3456234","","","","","ajames@uog.com","VP, Finance","Finance","","Public Relations","1945-01-21 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Primary","English"
"0034600001Odz7vAAB","0","","0014600001TvgffAAB","Mr.","Tom","Ripley","","","","","","","","","9 Tagore Lane Singapore, Singapore 787472 Singapore","","","","","","","","(650) 450-8810","(650) 450-8820","(650) 345-7636","","","","","tripley@uog.com","Regional General Manager","Executive Team","","Public Relations","1949-03-20 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Primary","English"
"0034600001Odz7wAAB","0","","0014600001TvgffAAB","Ms.","Liz","D'Cruz","","","","","","","","","10 Tagore Lane Singapore, Singapore 787472 Singapore","","","","","","","","(650) 450-8810","(650) 450-8820","(650) 345-6637","","","","","ldcruz@uog.com","VP, Production","Production","","Public Relations","1960-06-30 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Secondary","English"
"0034600001Odz7xAAB","0","","0014600001TvgfgAAB","Ms.","Edna","Frank","","","","","","","","","345 Shoreline Park Mountain View, CA 94043 USA","","","","","","","","(650) 867-3450","(650) 867-9895","(650) 867-7686","","","","","efrank@genepoint.com","VP, Technology","Technology","","Partner","1940-12-05 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Primary","English"
"0034600001Odz7yAAB","0","","0014600001TvgfbAAB","Mr.","Avi","Green","","","","","","","","","1302 Avenue of the Americas  New York, NY 10019 USA","","","","","","","","(212) 842-5500","(212) 842-5501","(212) 842-2383","","","(212) 842-5428","","agreen@uog.com","CFO","Finance","Chris Nobel","Public Relations","1932-04-24 00:00:00","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","Primary","English"
"0034600001Odz7zAAB","0","","0014600001TvgfhAAB","Ms.","Siddartha","Nedaerk","","","","","","","","","The Landmark @ One Market","San Francisco","CA","94087","US","","","","","","","","","","","","","","","","","","00546000001l1cJAAQ","0","0","0","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","00546000001l1cJAAQ","2018-10-13 17:16:45","","","","","","","","Pending","",""
